Sšmmad Hmd;;;;;;;;;;;;;;
Teilnehmer;Aussage 1;Aussage 2;Aussage 3;Aussage 4;Aussage 5;Aussage 6;Aussage 7;Aussage 8;Aussage 9;Aussage 10;Aussage 11;Aussage 12;Aussage 13;
1;7;7;7;7;7;6;5;6;6;7;7;7;4;
2;7;5;6;2;5;6;7;7;7;7;7;6;3;
3;7;7;7;7;7;7;7;7;7;7;7;7;7;
4;6;7;7;7;6;7;3;6;7;6;7;6;6;
5;6;6;7;6;6;6;7;7;7;7;7;7;6;
6;5;6;6;5;6;4;6;5;7;5;7;7;4;
7;7;6;6;1;3;6;4;4;5;5;5;5;1;
8;7;7;7;7;7;6;7;7;7;7;7;7;7;
9;5;5;6;7;6;3;6;6;5;6;7;6;7;
10;7;6;;3;2;7;6;5;6;6;7;6;5;
11;7;7;5;5;5;5;6;5;5;7;7;7;7;
12;7;6;7;7;7;7;7;7;7;7;7;7;7;
13;7;7;7;5;6;5;7;7;7;7;6;7;5;
;;;;;;;;;;;;;;
 AMaze Me Hmd;;;;;;;;;;;;;;
Teilnehmer;Aussage 1;Aussage 2;Aussage 3;Aussage 4;Aussage 5;Aussage 6;Aussage 7;Aussage 8;Aussage 9;Aussage 10;Aussage 11;Aussage 12;Aussage 13;
1;7;5;6;7;6;7;7;7;7;7;7;7;5;
2;5;4;4;5;6;6;7;5;7;6;7;5;4;
3;7;7;7;7;7;7;6;7;7;7;7;7;7;
4;5;6;5;5;4;3;5;4;6;6;7;7;6;
5;3;;4;3;5;2;4;5;7;4;7;7;2;
6;5;5;4;1;4;5;2;5;5;5;6;4;2;
7;7;6;6;1;6;7;7;6;6;6;7;7;5;
8;7;7;7;7;7;6;5;7;7;;7;7;7;
9;6;6;7;5;6;6;7;5;6;6;7;6;6;
10;7;5;5;3;4;4;3;4;4;4;4;4;2;
11;5;4;5;5;6;4;6;5;5;7;5;5;7;
12;6;5;5;7;7;7;6;4;5;5;7;7;7;
13;7;5;7;5;6;5;6;6;7;7;7;7;7;
;;;;;;;;;;;;;;
Sšmmad Non hmd;;;;;;;;;;;;;;
Teilnehmer;Aussage 1;Aussage 2;Aussage 3;Aussage 4;Aussage 5;Aussage 6;Aussage 7;Aussage 8;Aussage 9;Aussage 10;Aussage 11;Aussage 12;Aussage 13;Aussage 14
1;7;6;6;5;5;7;6;5;7;6;5;6;7;7
2;7;4;5;;7;6;;5;7;6;5;5;7;7
3;5;4;;5;7;6;6;5;6;7;2;7;6;4
4;5;6;3;2;7;6;6;6;5;7;6;6;7;7
5;7;5;4;5;3;5;6;3;5;6;3;7;6;7
6;7;7;7;7;5;6;7;6;7;7;5;7;7;7
7;7;6;7;6;7;7;7;6;6;6;6;6;7;6
8;6;5;7;6;;6;6;;7;7;7;7;7;7
9;2;3;4;3;2;3;3;4;4;4;1;6;4;4
10;6;6;6;6;6;7;6;6;6;6;6;6;7;6
11;7;;;;;6;;6;6;6;7;6;6;7
12;7;5;6;5;6;7;;5;6;7;2;7;7;7
13;6;7;4;6;7;7;5;6;7;7;1;7;6;7
;;;;;;;;;;;;;;
AMaze Me Non hmd;;;;;;;;;;;;;;
Teilnehmer;Aussage 1;Aussage 2;Aussage 3;Aussage 4;Aussage 5;Aussage 6;Aussage 7;Aussage 8;Aussage 9;Aussage 10;Aussage 11;Aussage 12;Aussage 13;Aussage 14
1;7;6;6;5;6;3;;2;7;6;4;4;5;6
2;7;6;5;5;5;6;3;5;5;6;6;6;7;6
3;6;7;6;7;7;6;7;2;7;6;6;7;7;6
4;6;7;7;7;5;5;7;4;7;7;3;2;7;7
5;6;4;6;4;5;6;3;5;5;6;5;3;6;7
6;6;4;6;3;4;7;5;6;6;5;5;6;7;6
7;6;6;7;6;;5;6;;7;7;7;;7;7
8;4;5;2;4;1;5;3;2;2;5;1;1;6;5
9;7;7;7;7;5;5;5;5;5;5;4;6;6;6
10;2;2;2;3;3;3;3;3;5;6;3;5;4;4
11;6;5;6;3;6;5;6;6;6;6;7;5;6;5
12;7;7;6;7;7;7;;6;7;7;7;7;7;7
13;7;5;5;5;4;5;4;4;5;5;1;7;7;7
